PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,Sasaran,Persen_Ukur_Timbang,Stunting,Wasting,Underweight,BULAN
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,523,86.42,108,39,102,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,193,96.89,32,9,36,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,206,68.93,28,25,43,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,347,89.63,55,23,72,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,57,87.72,7,8,13,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,359,89.69,61,7,54,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,197,98.98,35,9,32,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,114,96.49,17,4,14,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,229,88.65,36,4,28,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,448,93.75,72,14,64,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,270,64.44,51,4,34,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,162,71.6,47,4,27,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,88,64.77,12,0,6,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,76,88.16,20,0,11,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,215,64.65,23,11,16,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,231,70.13,79,24,69,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,420,65.71,64,34,57,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,211,62.56,28,10,32,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,505,67.52,68,37,83,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,105,78.1,26,6,30,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,237,59.49,21,25,32,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,267,64.42,59,22,49,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,113,74.34,16,12,21,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,66,66.67,3,7,10,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,23,95.65,0,2,4,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,113,60.18,15,15,15,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,124,62.9,14,4,11,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,72,73.61,8,1,3,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,151,50.99,18,9,22,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,108,76.85,21,6,16,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,32,90.63,5,0,6,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,71,60.56,11,6,11,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,166,56.02,39,11,34,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,523,86.42,108,39,102,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,193,96.89,32,9,36,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,206,68.93,28,25,43,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,347,89.63,55,23,72,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,57,87.72,7,8,13,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,359,89.69,61,7,54,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,197,98.98,35,9,32,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALULEKBO,114,96.49,17,4,14,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PANGALLOANG,229,88.65,36,4,28,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SINABATTA,448,93.75,72,14,64,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,270,64.44,51,4,34,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,162,71.6,47,4,27,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,88,64.77,12,0,6,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KADAILA,76,88.16,20,0,11,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAYU CALLA,215,64.65,23,11,16,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,231,70.13,79,24,69,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,BENGGAULU,420,65.71,64,34,57,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SUKA MAJU,211,62.56,28,10,32,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAMBUNONG,505,67.52,68,37,83,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SALUBIRO,105,78.1,26,6,30,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SANJANGO,237,59.49,21,25,32,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,TAMPAURE,267,64.42,59,22,49,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,BAMBAIRA,113,74.34,16,12,21,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KASOLOANG,66,66.67,3,7,10,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KALUKU NANGKA,23,95.65,0,2,4,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,113,60.18,15,15,15,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,124,62.9,14,4,11,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,72,73.61,8,1,3,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,151,50.99,18,9,22,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,KALOLA,108,76.85,21,6,16,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,WULAI,32,90.63,5,0,6,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BARAS,71,60.56,11,6,11,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BULU PARIGI,166,56.02,39,11,34,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BALANTI,102,61.76,11,6,12,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,MOTU,523,86.42,108,39,102,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,TOWONI,193,96.89,32,9,36,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,KASANO,206,68.93,28,25,43,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,SUMBER SARI,347,89.63,55,23,72,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,LELEJAE,57,87.72,7,8,13,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,BUKIT HARAPAN,359,89.69,61,7,54,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,LILIMORI,197,98.98,35,9,32,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,KARAVE,114,96.49,17,4,14,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,KASTABUANA,229,88.65,36,4,28,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,OMPI,448,93.75,72,14,64,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,DAPURANG,270,64.44,51,4,34,JANUARI
