PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,PUS,PUS_KB,PUS_TIDAK_KB,PB,PA,MKJP,KBPP,UNMET_NEED,BULAN
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,1,1,1,2,8,0,37,345,122,223,48,50,43,11,26,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,1,1,1,2,50,18,6,339,172,167,26,48,46,37,29,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,1,1,1,2,5,13,37,238,154,84,34,25,13,10,22,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,1,1,1,2,35,48,38,392,116,276,32,31,22,22,30,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,1,1,1,2,14,28,45,281,107,174,23,28,13,44,16,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,1,1,1,2,27,13,11,280,177,103,21,48,43,22,15,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,1,1,1,2,9,43,48,334,151,183,50,2,36,7,10,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,1,1,1,2,36,26,20,381,162,219,35,11,7,21,22,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,1,1,1,2,10,12,36,291,143,148,25,34,17,42,6,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,1,1,1,2,29,34,33,330,172,158,24,30,18,44,3,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,1,1,1,2,1,13,8,255,110,145,25,3,40,18,24,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,1,1,1,2,28,7,26,250,128,122,15,25,39,9,14,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,1,1,1,2,3,1,15,203,104,99,44,49,44,18,6,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,1,1,1,2,0,49,50,300,126,174,27,46,16,34,11,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,1,1,1,2,5,17,25,254,174,80,44,49,31,1,19,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,1,1,1,2,27,50,5,205,186,19,12,42,11,49,10,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,1,1,1,2,0,16,41,277,173,104,7,17,22,17,5,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,1,1,1,2,25,48,19,235,126,109,0,45,32,45,26,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,1,1,1,2,14,26,1,348,167,181,48,8,1,15,20,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,1,1,1,2,3,2,21,357,190,167,2,30,0,20,18,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,1,1,1,2,27,16,6,244,101,143,10,11,41,16,25,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,1,1,1,2,37,49,13,348,199,149,7,7,14,41,19,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,1,1,1,2,21,18,2,386,159,227,25,30,37,42,24,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,1,1,1,2,22,44,1,371,109,262,16,36,47,30,11,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,1,1,1,2,17,10,15,265,167,98,41,21,22,41,13,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,1,1,1,2,32,34,50,291,117,174,10,22,25,33,20,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,1,1,1,2,36,36,9,242,167,75,13,5,29,34,2,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,1,1,1,2,24,0,43,338,175,163,27,12,48,38,4,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,1,1,1,2,11,35,7,215,170,45,28,44,4,35,11,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,1,1,1,2,43,13,36,259,100,159,9,42,18,14,29,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,1,1,1,2,36,26,50,238,120,118,40,6,1,43,17,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,1,1,1,2,47,39,20,388,101,287,13,42,23,30,6,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,1,1,1,2,45,45,32,291,191,100,18,18,20,40,16,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,1,1,1,2,16,13,30,224,123,101,27,13,4,6,30,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,1,1,1,2,31,1,2,359,122,237,16,44,18,45,30,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,1,1,1,2,14,2,38,208,145,63,11,2,13,12,27,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,1,1,1,2,21,23,33,308,145,163,37,9,44,44,14,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,1,1,1,2,37,38,27,213,121,92,46,24,5,7,29,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,1,1,1,2,11,16,16,341,180,161,7,39,1,48,24,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,1,1,1,2,33,34,39,340,142,198,28,25,39,12,10,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALULEKBO,1,1,1,2,40,19,25,221,197,24,35,24,32,32,13,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PANGALLOANG,1,1,1,2,23,26,17,269,161,108,28,37,19,4,5,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SINABATTA,1,1,1,2,27,18,21,272,139,133,32,32,38,5,6,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,1,1,1,2,14,32,45,229,192,37,7,24,10,7,26,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,1,1,1,2,23,2,31,291,117,174,34,22,30,15,4,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,1,1,1,2,30,45,37,347,121,226,38,0,2,46,28,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KADAILA,1,1,1,2,46,20,4,328,133,195,41,21,16,23,21,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAYU CALLA,1,1,1,2,17,26,7,386,162,224,36,32,40,16,4,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,1,1,1,2,33,49,33,204,134,70,41,25,11,14,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,BENGGAULU,1,1,1,2,11,5,21,322,153,169,18,8,4,35,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SUKA MAJU,1,1,1,2,33,44,31,382,154,228,32,6,18,50,22,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAMBUNONG,1,1,1,2,32,10,50,212,144,68,0,11,37,44,5,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SALUBIRO,1,1,1,2,41,9,26,293,195,98,22,46,38,18,29,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SANJANGO,1,1,1,2,21,25,14,233,115,118,14,30,35,33,0,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,TAMPAURE,1,1,1,2,42,41,30,359,129,230,8,14,48,41,14,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,BAMBAIRA,1,1,1,2,14,18,39,351,187,164,17,39,43,3,12,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KASOLOANG,1,1,1,2,11,37,34,246,112,134,17,39,37,15,7,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KALUKU NANGKA,1,1,1,2,36,13,18,207,131,76,31,30,38,49,15,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,1,1,1,2,38,44,14,338,167,171,47,7,26,22,12,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,1,1,1,2,35,4,42,204,130,74,20,37,1,43,16,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,1,1,1,2,37,16,43,287,104,183,14,20,50,22,8,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,1,1,1,2,4,47,11,220,181,39,17,34,39,28,11,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,KALOLA,1,1,1,2,20,49,34,363,148,215,16,30,11,40,11,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,WULAI,1,1,1,2,35,16,26,361,143,218,50,29,5,17,13,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BARAS,1,1,1,2,31,30,28,253,165,88,4,30,20,12,13,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BULU PARIGI,1,1,1,2,16,37,13,370,159,211,24,29,18,4,7,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BALANTI,1,1,1,2,34,37,7,290,135,155,9,41,44,17,14,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,MOTU,1,1,1,2,27,39,3,227,113,114,29,42,48,17,22,JANUARI
