PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_KELUARGA,JUMLAH_SASARAN,JUMLAH_KRS,PENERIMA_BAAS,PENERIMA_BANTUAN_PANGAN,JUMLAH_BALITA_STUNTING,TERLALU_TUA,TERLALU_MUDA,TERLALU_BANYAK,TERLALU_DEKAT,SANITASI,SUMBER_AIR_MINUM,CATIN_SASARAN,CATIN_TERDAMPINGI,CATIN_TIDAK_TERDAMPINGI,CATIN_BERESIKO,BUMIL_SASARAN,BUMIL_TERDAMPINGI,BUMIL_TIDAK_TERDAMPINGI,BUMIL_BERESIKO,PASCASALIN_SASARAN,PASCASALIN_TERDAMPINGI,PASCASALIN_TIDAK_TERDAMPINGI,PASCASALIN_BERESIKO,BADUTA_SASARAN,BADUTA_TERDAMPINGI,BADUTA_TIDAK_TERDAMPINGI,BADUTA_BERESIKO,BULAN
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,54,18,5,4,0,0,0,2,3,0,4,1,8,7,1,4,10,6,4,4,9,7,2,6,16,4,12,14,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,78,55,9,8,4,2,2,5,1,0,1,4,15,9,6,4,38,28,10,14,34,33,1,21,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,100,17,2,2,1,0,0,1,0,1,1,1,10,9,1,9,14,6,8,5,11,10,1,6,14,2,12,3,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,82,14,9,6,1,0,0,2,4,1,8,1,4,3,1,0,13,10,3,8,7,3,4,3,14,13,1,4,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,68,44,3,0,0,0,0,2,1,0,2,0,11,1,10,0,16,16,0,10,10,4,6,1,4,2,2,3,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,68,49,33,15,15,2,2,12,15,1,13,3,0,0,0,0,42,18,24,14,22,7,15,0,33,7,26,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,86,70,62,15,2,0,0,45,0,2,28,22,12,4,8,4,53,33,20,28,31,27,4,27,65,8,57,24,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,77,12,4,3,2,2,2,0,1,0,2,0,11,5,6,3,11,5,6,2,10,8,2,3,15,12,3,8,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,61,32,17,14,3,0,0,17,0,0,1,12,3,0,3,0,30,12,18,10,21,6,15,1,25,2,23,24,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,97,38,17,14,9,1,1,4,9,0,7,6,12,2,10,2,23,23,0,1,1,1,0,0,24,0,24,10,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,98,55,50,32,5,0,0,4,5,13,41,3,9,2,7,1,54,53,1,15,36,15,21,3,24,11,13,3,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,80,58,33,32,18,1,1,21,5,1,25,7,4,4,0,3,35,11,24,5,8,1,7,1,43,1,42,8,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,61,73,58,5,0,0,0,10,18,5,56,1,10,8,2,3,30,13,17,4,26,18,8,14,71,32,39,62,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,89,77,62,19,12,11,3,1,32,26,57,3,9,2,7,2,43,23,20,19,29,12,17,0,9,3,6,7,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,78,46,45,10,7,4,3,31,1,3,32,1,13,7,6,3,32,15,17,12,30,22,8,13,39,5,34,21,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,89,59,3,1,1,1,0,2,0,1,0,1,15,15,0,2,21,21,0,1,6,3,3,3,38,8,30,12,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,76,58,29,7,3,2,0,28,0,1,29,0,5,4,1,1,17,12,5,0,9,2,7,0,48,43,5,35,JANUARI
